гэж	pron. as,that
амтлах	v. sweeten, flavor, relish
хээ	n. ornament, pattern, stamp
тавтай	adj. cosy
тухтай	adj. comfortable
шонхор	n. falcon
тарих	v. to plant, grow, inject
тариачин	n. small farmer
хөлс	n. wage, rent, hire
ор	n. bed, vacancy, space
туслах	v. look to
гадна	adj. outside
ажиллах	v. activate
дэх	???. seems to be a modifier for previous word (e.g four=дөрөв, fourth=дөрөв дэх)
хорсох	v. hate
үзэмж	n. beauty
биеэ	pron. me
янзлах	v. repair, polish
янзалж	adj. modeled, related to a figure
ховдог	adj. greedy
бошинз	n. gown, frock
удаа	n. instance, time (as in "one time")
захирах	v. to direct, govern
алаг	adj. checkered
тах	n. horseshoe, shoe
хөнгөн	adj. easily, spry, nimble
захих	v. instruct
дахь	prep. upon (also modifier хоёр=two, хоёр дахь=second)
дээгүүр	prep. above
өөд	prep. for, toward, up
нандигнах	v. sanctify
харамгүй	n. generosity
дурлах	v. crave, desire, like
мөргөх	v. bump, bang, strike
нээх	v. detect, discover, open, start
хөөрөх	v. brag, swagger, converse
ховлох	v. denounce
цаашилбал	conj. furthermore
жааз	n. cadre, framework
шивэх	v. perforate, tattoo
зоог	n. feast
энгэр	n. board, flap, downhill
шархдах	v. injure, wound
төмөр	n. iron
элээх	v. to wear out
таяг	n. cane, stick
хугалах	v. fracture
гашуун	adj. biting, sour, salt
нулимс	n. brine, tears
урсгах	v. shed
цус	n. blood
аашилж	adj. lashing out
хорих	v. withdraw, suppress
дайрах	v. abuse, insult
үйл	n. action, needlework
лай	n. mud, dirt, trouble
гэхдээ	conj. however, but
хийлгэх	v. to force, call on
харгуй	n. path
жигүүртэн	n. bird
хөгжилдөх	v. liven, revel
жиргэх	v. chatter, chirp
зүрх	v. daring, nerve
баясгах	v. amuse
горхи	n. brook, creek
сэрүүцэх	v. to refresh
цугларах	v. accumulate, flock
халдах	v. catch, invade
довтлох	v. attack
тахиа	n. chicken
ар	n. background
ангайх	v. yawn
үмх	v. nibble
харуулах	v. show, exhibit
шулмас	n. demon
үнэр	n. scent, odor
үнэртэх	v. smell, savour
тулах	v. recline, touch, lean
тахир	adj. curly, winding
илбэ	n. magic, sorcery
хатан	n. madame, lady
ханд	n. extraction, liquor
өнхрөх	v. trundle
гутлаа	n. shoes
шивээ	n. barricade, fence
бүсгүй	n. young girl
орос	n. Russia
тусах	v. reflect
тэлүүр	n. frame for embroidery
хамба	n. bishop
зар	n. notice, spend
гэрэлтэх	v. illuminate, glorify
ханцуй	n. branch, sleeve
адуу	n. horse
гавлах	v. arrest, handcuff
эр	n. male
эндэх	n. to err, make a mistake
цуврах	v. drip, trickle
тогтоох	v. determine, establish, identify
ууль	n. owl
сандаргах	v. agitate, confuse
үүдэн	adj. front (teeth)
сүндэрлэх	v. lift, tower over
болор	n. pebble
цамхаг	n. tower
хээлэх	v. design, decorate
сийлэх	v. carve, engrave
довжоо	n. porch
хуар	n. decoration
баадан	n. kit
мэх	n. trap, trick
алдар	n. luster, glory
хэдий	adj. any, how many
шивнэх	v. murmur
дүр	n. expression, likeness
тагнах	v. scout out, pump
ангир	n. mandarin duck
амрах	v. rest
нойрон	n. sleep
дарагдах	v. pin under
ханах	v. satiate
угалз	n. sandstorm
маргааш	n. tomorrow
элэг	n. liver, sneer
зүрх	n. heart
тэврэх	v. embrace
нүцгэн	adj. bare, bleak
дусах	v. drop
халуу	n. heat
цоргих	v. jet
нутаг	n. shore, land
урвах	v. betray
уухай	n. cry
зарлигдах	v. order
тайх	v. hallow
ноёд	n. noblepeople
тариачид	n. peasantry
худалдаачид	n. tradefolk
цуглах	v. gather, congregate
гэм	n. defect, fault
шүүх	v. judge, prosecute
уулзах	v. encounter
тангараг	n. vow
хайрлах	v. cherish, favor, bestow
бараа	n. outline, silhouette
жинхэнэ	adj. authentic, factual
хагацаах	v. deprive
буудах	v. shoot
олны	adj. public
донсолго	n. jolt
зорих	v. pursue, purpose
худаг	n. water hole, well
төөнөх	v. glow, sear, grill
үхрийн	adj. related to cows
туурай	n. hoof
орох	v. enter
дэргэдүүр	adj. near
зориулах	v. devote to
эзгүй	adj. absent
эелдэг	adj. courteous
хунар	n. clothes
таних	v. identify, recognize
байтугай	conj. moreover (тэр ч байтугай)
унжих	v. hang
дасах	v. adapt
ширмэн	adj. cast-iron
балга	n. sip of ___
зайлах	v. evade
гомдох	v. grieve
ширүүн	adj. heavy, furious
бяцлах	v. smash
ёроол	n. bed, floor
чангаах	v. to pull
ногоо	n. grass
ороох	v. entwine, twist
уян	n. resilience
овсгоо	n. enterprise, push, drive
энцэлэх	v. end something
дараалах	v. to be next
булш	n. grave
залхуурах	v. to be lazy
хагарах	v. to break, split
сонин	n. newspaper
өлсгөлөн	n. hunger
хуцах	v. to bark, wolf
баахан	n. big number
мөөг	n. mushroom
шаахай	n. sandals
сүлжих	v. knit
халгаах	v. to be shy
цэлгэр	adj. large, spacious
цэнхэртэх	v. become blue
үүлэн	adj. cloudlike
ээрэх	v. hesitate, stutter
жирэлзэх	v. dash, run
баруун	n. right (as opposed to "left")
дахих	v. to repeat
орд	n. field, mansion
цагираг	n. ring, wheel
босгох	v. build
үсрэлт	n. lunge, jump
услах	v. irrigate
самнах	v. comb
зүс	n. color, appearance
цуг	adj. together
азаа	n. dare (as in азаа үзэх)
доог	n. mockery
духдуулах	v. put hat on head
морио	n. horse
хавирах	v. grind
уухайлах	v. cry out
тоос	n. dust, dirt
эрээн	adj. spotted, speckled
чичиргэх	v. to pulse
дөл	n. fire, light
дүрэлзэх	v. to inflame, blaze
утаа	n. smoke
олгойдох	v. spout
хадагдах	v. to nail
зогтусах	v. stop suddenly
илэх	v. caress, rub
хазаарлах	v. to restrain, bridle
толгод	n. rise, swell
ханарах	v. fall on the same side
ургаа	adj. rooted, growing
хоорондуур	prep. between
үй	adj. a lot (like үй олон)
үймэлдэх	v. to be in disorder
улс	n. country
ээлжлэх	v. rotate, alternate
хүршгүй	adj. untouchable,unconquerable
үсэргэх	v. to jet, spring, splash
дутах	v. to lack
цойлох	v. plunge
ахиад	adv. repeatedly
тасхийх	v. clank, growl
духах	v. to wear
амжих	v. to make, have time to do
шуугилдах	v. to make a lot of noise
эрэлхэг	adj. brave
сураг	n. news, rumor
боох	v. wrap
онцгой	adj. special, unique
туяа	n. radiance
цацрах	v. beam, radiate
шатаах	v. shoot, roast, singe
түшмэл	n. officer, clerc
найрах	v. to agree, mix
баршгүй	adj. infinite, limitless
уулгалах	v. plunder, surprise attack
хосгүй	adj. matchless, unparalleled
зочин	n. guest, visitor
аяг	n. habit, fit
шимшрэх	v. disappointed
гэзэг	n. braid, pigtail
арзайх	v. bristle
үнс	n. ash, cinder
тортог	n. smoke
цохих	v. jab, bash, hit
өчих	v. point out
тайлбар	n. comment, explanation
ойртох	v. approach
гялбах	v. flash, spark
инээдэм	n. humor
хөлгүй	adj. deep, steep
төгсөх	v. to finish
зодох	v. to hit, strike
томоотой	adj. well behaved
илүүдэх	v. exceed
нудрах	v. hit
дутуудах	v. to be inadequate
дугтчих	v. to twitch
магтах	v. to praise
цорвойх	v. to protrude
түлээ	n. wood for fire
хараах	v. curse
дэгдэх	v. fly up, escape
намдах	v. to ease, soothe
давардах	v. to overcome
хорвоо	n. earth
тонилгох	v. cause death, kill
минь	pron. my
үглэх	v. to grumble, complain
зөрөх	v. to disagree
хөллөх	v. hitch, harness
чарга	n. sleigh
гацуур	n. fir tree
даарах	v. feel cold
бөндгөнөх	v. move by rolling
чахрах	v. to squeak, creak
дулаахан	adj. warm
доошлох	v. descend,fall
няс	adj. crackling (as in тас няс)
бээрэх	v. freeze
эвлүүлэх	v. gather, assemble
хөдөлгөх	v. move
дээл	n. coat, garment
өдөх	v. challenge, provoke
нөмөргөх	v. sheet
зөнөг	adj. senile
оршуулах	v. bury
халууцах	v. swelter
гоёл	n. embroidery, garb
хөөр	n. zest, jubilation
сэлт	adj. imminent
ачих	v. load, stow, freight
хайрах	v. fry, sear
худлаа	n. lie, not true
цацарсан	adj. radiant
буулгах	v. demolish, lower, down
хөлдөх	v. freeze
шуурах	v. storm, tempest
хурдал	adv. hurry up
угтах	v. greet, welcome
мэргэ	n. prophecy
гөрөх	v. braid, entwine
шугуй	n. forest
хэсэх	v. scour, wander
үдшийн	n. nightfall
урам	n. enthusiasm
харвах	v. shoot, dart
нугалах	v. bend, fold
үүргэвч	n. knapsack
аз	n. luck
анх	adj. first
хором	n. instant, moment
үүрэглэх	v. drowse, nap
харуулдах	v. chip, shave
далавч	n. leaf, blade
шургах	v. creep in
ёсоор	adv. accordingly
дагина	n. pixy
асрах	v. nurse, tend to
халамжилсан	adj. tutorial
авлах	v. hunt
эзэн	n. boss
өчүүхэн	adj. inconspicuous, insignificant
төдий	adj. mere
бүхэл	adj. full, whole
багтаах	v. contain, comprise, include
хадан	adj. rocky
сүлжилдэх	v. interlace
сүрэглэх	v. flock, horde
гийх	v. shine
навч	n. blade, leaf
тохох	v. to put on
дэмий	adv. in vain
сайх	adj. the same
хүмүүс	n. people
гүйлдэх	v. run together
шаваарах	v. crowd
тохирох	v. convenient
сүйх	n. carriage
тэрэг	n. wagon
хүчлэх	v. to force
бус	???. not
мянга	adj. thousand
гүрэн	n. country
атгах	v. grasp, squeeze
байц	n. cliff
хөлөг	n. small boat
ийнхүү	adv. like this
гөлрөх	v. stare
хорчийх	v. wrap, mummify
турах	v. reduce, thin
ажих	v. look at
тогших	v. knock
хэрэх	v. loiter, roam
зохих	v. behoove, warrant, suit
хагацах	v. divoce, depart
учрах	v. happen, occur
тэгэхээр	conj. thereupon
сүвэгч	n. eyehole
бүтэх	v. realize, form
урамшуулах	v. embolden, encourage
шагнах	v. award, bestow, encourage
зарлиг	n. decree, ordinance
шаналах	v. regret, suffer
уй	n. sadness (as in уй гашуу)
ноорхой	adj. tattered, raggedy
уйтгарлах	v. to sadden
гэр	n. home
бүтээх	v. accomplish, invent, envelop
эргүү	n. idiot
заль	n. deceit, lie, ruse
даах	v. suffer
эцэслэх	v. to do away with, end, terminate
гүйцэлдэх	v. to complete
диваажин	n. heaven
сэлэм	v. sword, blade
бөндгөс	adv. to move by rolling
гудайлгах	v. bend head
гуниг	n. sadness
хатах	v. to dry
өмнөө	adj. distinctive
шид	n. mysterious power
бөмбөрөх	v. tumble, roll
гатлах	v. cross over
цуцах	v. to give up
шигүү	adj. thick, dense
жалга	n. valley
хоёул	adj. both
чөтгөр	n. demon,ghost
овоолох	v. to pile up
хааш	adj. whither
бороохойдох	v. club, bludgeon
мэндлэх	v. greet
зовних	v. sorrow
аягалах	v. pour
нойрсуулах	v. hypnotize
таашаагдах	???. please
үнэнч	adj. faithful
нойрсох	v. sleep
ял	n. accusation, condemnation
зэс	n. copper
тугалган	n. tin
бэрхшээх	v. despair
тоочих	v. to enumerate
нарлах	v. sunbathe
өвөрлөх	v. to harbor, nourish
тэртээх	v. located on the other side
гишгэх	v. to step
бахиар	n. pincer
хавчих	v. clamp
саваа	n. stick, rod
амт	n. aroma
хугарах	v. deflect
тахилзах	v. crooked
нахилзах	v. shake
янз	n. type of
лам	n. monk
жанчих	v. to beat, hit
ид	n. witchcraft (as in ид шид)
савалзах	v. move fast
давших	v. advance, progress
хэнхдэг	n. front of chest
сандрах	v. to be in confusion
түргэн	adv. quickly
түгжээ	n. lock
ухаан	n. intellect
эз	n. omen
занах	v. hatred, grudge
туйл	n. the extreme end of something, pole (like magnetic pole)
устгах	v. eliminate
эс	n. fiber, tissue, also "not to know" as in (эс мэдэх)
хууч	n. sickness
залгилах	v. lap, swill
сахих	v. maintain, preserve
арчих	v. mop, scrub
зорчих	v. ride, fare
үл	???. no, not
хүртэх	v. deserve, merit
удах	v. overstay
бодлогошрох	v. brood over
огторгуй	n. sky, space
элэх	v. soar, wear, hover
сургах	v. educate, instruct
хурах	v. congregate
хүдэр	n. ore
тэнгис	n. sea
даллах	v. beckon, wave
сэв	n. blemish
тов	n. date (as in time)
бөөрөнхий	adj. round
гүйцэтгэх	v. to carry out
наманчлах	v. confess, redeem
хазагдах	v. to be bitten
буурах	v. decrease
өрөх	v. set, arrange
нэрэлхэх	v. hesitate
зовох	v. worry, agonize
шалгаах	v. beseech, implore
саван	n. soap
хувцаслах	v. to clothe
бүлээн	adj. warm
хаяа	n. perspective, plane
араатан	n. beast, predator
бяц	n. small pieces
бухал	n. hay
ойчих	n. fall
хийлэх	v. pump, ventilate
жим	n. path, runway
таглах	v. cork, cover
хучигдсан	adj. under, cloudy
сахал	n. facial hair
хадам	adj. in-law
чанга	adj. abrupt, acute
торх	n. barrel, keg
жигнэх	v. steam, stew
гулууз	n. rolling pin
огтлох	v. cleave, chop
сармис	n. garlic
дүрэх	v. jab, thrust
сайшаах	v. applaud, praise
хог	n. dirt, garbage
үлдэгдэл	n. leftovers, odds and ends
чангалах	v. fix, fasten
амттан	n. candy, sweets
хэчнээн	adj. how many, what
түлэнхий	adj. sear, scorch
барах	v. deplete, drain
ач	n. favor
хүр	n. silkworm moth
солбих	v. cross, intersect
түрүүн	adv. previously
хүчит	adj. strong
хуйлрах	v. twirl, roll
жижигрэх	v. decrease
долгион	n. wave
гайхамшиг	n. phoenix, marvel
дундах	v. in the middle
хөвөх	v. swim, sail
зангуу	n. anchor
зав	n. free time
арлын	n. insular
гялалзах	v. to glow
шимтэх	v. to endeavor
арз	n. milk vodka
ирмэх	v. to twinkle, wink
дур	n. disposition, leaning
хашраах	v. annoy, irk
хормой	n. skirt
зуур	adv. while
цэр	n. spit
дээш	prep. above
цоор	n. pipe
зэр	n. weapons (like зэр зэвсэг)
туг	n. banner, flag
намирах	v. stream, wave, swing
жанжин	n. captain, general
үзүүр	n. end, extremity
цэнэ	n. cost
цутгалан	n. torrent, influx
найрлах	v. celibrate
эн	n. texture, width
согтох	v. get drunk
хуй	n. eddy, vortex
дарвуул	n. canvas
далбаа	n. banner
найртай	adj. friendly, sociable
мэдээ	n. information, data
илтгэх	v. report, profess
үхлийн	adj. deadly, fatal
аман	adj. verbal, oral
зэвсэг	n. instrument, weapon
тулалдах	v. battle, combat
жигдрэх	v. to be the same
нижигнэх	v. boom, bellow
хороо	n. bureau, commission
баривчлах	v. arrest, apprehend
бөмбөгдөх	v. bomb, shell
цахилах	v. flash, sparkle
амь	n. life, spirit
маргах	v. argue, contest
дэвэх	v. clap, flutter
өнжих	v. spend the day
далавчин	n. wing
таамаглах	v. to assume
хулгайлах	v. to steal
тордох	v. take care of
тоох	v. hold in high esteem
урсах	v. stream, seep
сох	n. wholly
зориглох	v. to have courage
хаг	n. knarl, scar
хөвөлзөх	v. move up and down
норгох	v. to make wet
сэрвээ	n. fin
май	n. cloud of smoke
гулгах	v. sliding
нугдах	v. to disappear
жиг	n. something strenge
далдлах	v. hide
шунгах	v. dive
гүр	n. metal stone
сэр	adj. puffy (like сэр сэр)
сэвэх	v. wave, fan
булаах	v. capture, seize
халхлах	v. shield, cover
танхи	adj. ladylike
гоёх	v. adorn, garnish
гоодох	v. dress up
шармал	adj. gilded
сондор	n. necklace
жавхаатай	adj. colorful
ганхах	v. jiggle, stagger, wobble
хойрго	adj. lazy, indolent
бүрий	n. nightfall, dusk
турш	adv. during, while, throughout
сөрөх	v. confront, dispute
гадуурхах	v. despise
шим	adj. juicy
ариун	adj. pure, sacred
нандин	adj. rare, sacred
хилэн	n. irritation
шоолох	v. joke, jest
бужиг	n. dance
чуулах	v. assemble
хор	n. evil, malice
сэтгэх	v. think
цэнгэх	v. to enjoy
шүүс	n. juice, sauce
гурвуу	adj. all three
булаг	n. fountain, spring
атаа	n. jealousy
арвалзах	v. infest
буцлах	v. to boil
гишүү	n. bough (like from a tree)
буурай	adj. weak
сагс	n. basket
бариулах	v. forfeit
малчин	n. cowboy
овгор	n. lump
номин	adj. azure blue
дэлгэрэх	v. blossom, flourish
зэгс	n. cane, reed
бишгүүр	n. trumpet
зэгсэн	adv. quite,respectably
хороох	v. to execute, kill, decrease
ухах	v. dig
худ	adj. in-law
хорсгох	v. sting the eyes
сөгдөх	v. kneel
цоож	n. lock
шүрших	v. scatter, sprinkle
жагсах	v. parade, demonstrate
зэрэгцэх	v. align, sync
давалгаалах	v. wave, undulate
долгилох	v. wave
цэлийх	v. continue, spread out
дорхноо	adv. immediately
халцрах	v. shed skin
ганганах	v. cackle
хэлтрэх	v. waive
цурхай	n. luce fish
цалгилах	v. to splat
хариг	adj. covetous, self-conscious
тушаал	n. appointment, office
тосгоны	adj. rural
инээмсэглэх	v. smile
бэргэн	n. daughter in law, sister in law
хүсэл	n. wishes, will
хангинуур	n. shrill sound
манаргах	v. stir trouble, stir dust
тээглэх	v. to halt
шавдах	v. to urge
хураах	v. to put away, seize, collect
уягдах	v. to be bound, tied
унагах	v. to throw
ачигдах	v. to load
өргөх	v. to lift
шивгэнэх	v. whisper
тэсэх	v. digest, endure, suffer
явдал	n. action, move
алгадах	v. smack, swat
чихэр	n. sugar, sweet
амлах	v. promise, vow
бараалхах	v. donate, give, present
туурга	n. side, wall
зарга	n. bill, lawsuit
байрлах	v. inhabit, intervene
уйлаан	n. cry
нус	n. drivel
хамах	v. scrape, sweep
давирхайдах	v. resin, tar
давуу	adj. tight, narrow
улайрах	v. become resolute, blush
шаргал	adj. yellowy
бүслүүр	n. hoop, zone
даруй	adv. immediately
уучлах	v. absolve, pardon
гагцхүү	adv. exclusively
өвгөрөх	v. to age
хөгшрөх	v. to mold, olden, age
зулай	n. crown
адис	n. blessing
ерөөл	n. blessing, benediction, toast
нум	n. bow, arc
сум	n. bullet, arrow
гарц	n. passage, exit
ноён	n. sir
шунгинах	v. whizz
ганихрах	v. grieve
бэр	n. sister in law, daughter in law, bride
цамц	n. shirt
шалах	v. urge, persuade
норох	v. get wet
гудайх	v. slant, tilt
тэтгэгч	n. supporter
дэвхрэх	v. skip, hop
боолт	n. cord,bandage
алаглах	v. to look colorful
ёстой	adj. ought, proper, should
наадам	n. festival,show
жонхуу	n. adhesive
хэмхлэх	v. pulverize, smash
нууц	adj. clandestine, classified
дуурайх	v. imitate, mimic
барлаг	n. attendant, retainer
ёслол	n. ceremony, ritual
гуних	v. sadden, gloom
дооглох	v. mock, jeer
нэгжих	v. search, rummage
хөвгүүд	n. boys
шилтгээн	n. castle
сугар	n. venus
болшгүй	adj. impossible
гялбалзах	v. twinkle
тунгалаг	adj. lucent, bright, crystal
түших	v. recline, depend, link
үлдсэн	adj. extra, residual
дун	n. shell, snail
шагших	v. surprised
цацагдах	v. sprinkle, spray
сэм	adv. stealthily
хэдрэг	n. instrument for hide tanning
нут	adj. strong, solid
цох	n. beetle
ураг	n. relationship
хэт	adj. exceedingly, over
байг	n. target
задрах	v. to eliminate, unwind
цоорхой	n. gap, opening
шагайх	v. to aim
онилох	v. to aim
магад	adj. certain, definite
багтрах	v. seizure, thrash
халгих	v. burp, overflow
махир	adj. curly, bent
туйпуу	n. brick
цайлах	v. to treat to tea
тэмцэх	v. wrestle, contend
гэдсэн	adj. stay down (as in гэдсэн дотор)
авдар	n. suitcase, trunk
огло	v. break off (like огло үсрэх)
өн	adj. richness, abundance
дуслах	v. drip, ooze
тийчлэх	v. kick
өргөө	n. residence
өтөл	adj. old
язгуур	n. lineage, root
нутаглах	v. inhabit, live
хэв	n. shape, mold
бүлгээ	v. was
хорь	adj. twenty
гуа	adj. gorgeous
түм	n. multitude, ten thousand
агнах	v. hunt
хориглох	v. forbid, inhibit
харилцах	v. communicate, mix
бурхан	n. deity
нүүх	v. move, vacate
сохор	adj. blind, ignorant
дэрвэх	v. swing, wave
авга	n. parental relative (like uncle)
доромжлох	v. insult, outrage
овог	n. last name
гунж	n. young animal (like a young cow)
хавирга	n. flank, side
цорой	n. cramp
шорлох	v. to skewer
уушги	n. lung
зул	n. light
буг	n. demon, devil
дал	n. seventy, shoulder blade
баглаа	n. cluster, pack
сэжиглэх	v. mistrust, suspect
шарвах	v. slide, wag
адилтгах	v. compare, identify
эв	n. harmony, dexterity
нэгтгэх	v. generalize, integrate
баглах	v. pack, bind
бэх	n. ink
хялбар	adj. easy, accessible
дийлэгдэх	v. lose ground
мунхаг	adj. dark, dense, stupid
бядуу	adj. stupid
тооцох	v. consider, score
тоологдох	v. enumerate
атал	adv. yet
мэрэх	v. knaw
харцага	n. hawk
мяраах	v. prowl, glide
сэг	n. carrion
мөч	n. limb, space, minute
олгох	v. allow, grant
ялзрах	v. corrupt
эсэг	n. leaven
салхилах	v. blow, storm
бутрах	v. crumble
хүлэх	v. bind
айсуй	adj. imminent
хатир	n. trot
өгүүлрүүн	v. said
хайхармаагүй	conj. regardless
өгүүлэх	v. say
шийр	n. shank
чацуу	adj. same
иргэн	n. citizen
хянагч	n. inspector
жирэмсэн	adj. big
харь	adj. strange
нэрийдэл	n. guise, name
бодон	n. boar
баатар	n. hero
инж	n. dot
тайлга	n. rite
татвар	n. tax
ямагт	adv. always
авир	n. character, model
хоч	n. alias
эрдэм	n. knowledge, learning
адармаа	n. deception
татаар	n. Tatar
баригдах	v. captivity, wallow
тайж	n. nobleman
тамтарсан	adj. ramshackle
барагдах	v. exhaust, dwindle
өшөө	n. feud, enmity
хөт	n. guide
ташуурдах	v. flog, whip
бэл	adj. downhill
дутаах	v. flee
хошуу	v. beak, muzzle, nose
үлдэх	v. continue
бэрх	v. difficult, hard
тутам	adj. each
амиа	n. sacrifice
хээр	n. chesnut
хөдөө	n. countryside
гэтлэх	v. conquer, negotiate
давуулах	v. outdo
ятгах	v. admonish, convict, get, exhort
жаргал	n. pleasure
бүжиг	n. dance
өргөмжлөх	v. exalt, glorify
сал	n. float, raft
саглагар	n. rank, exuberant
олом	n. ford, cinch
нэвтрэх	v. enter, permeate
бархирах	v. exclaim, screech
тэнхрэх	v. recuperate, refresh
гуужих	v. peel, slough
шадар	adv. nearby
зэмлэх	v. blame, accuse
буруушаах	v. blame, accuse, criticize
балмад	adj. brute, foolish, rude
барс	n. ounce
цөөвөр	adj. lesser
хэрцгий	adj. barbarous, bitter, cruel
нүгэл	adj. evil
гэдрэг	adj. backward, flatways
нядлах	v. kill, slaughter
нялх	n. baby
мангас	n. monster
залгих	v. devour,gulp
хэвэл	n. belly
шарга	adj. orange-brown
довцог	n. small hill
ойшоохгүй	adj. insolent
цайвар	adj. blond, fair
жараахай	n. minnow
эрэмдэг	adj. disabled, monstrous
төгөлдөр	adj. complete, entire
сайд	n. minister
засаг	n. government
хутагт	n. saint, pontiff
гогод	n. leek
өсгөх	v. culture, enhance, foster
дэгээ	n. hanger, holdfast, peg
гох	v. hook, hitch, click
малтах	v. dig, mine
цавчим	n. ascent
шор	n. skewer, spit
уруудах	v. dip, slope
оёдол	n. needlework
оюун	n. intellect
тарах	v. disband, permeate, scatter
жадлах	v. spear, thrust
зоох	v. plunge, jab
тохиол	n. accident, episode
байлдах	v. combat, battle
байгуулах	v. conclude, create, found
хайхрах	v. heed
ширгэх	v. evaporate, shallow, shoal
хождох	v. lag
архи	n. alcohol
хишиг	n. blessing
ихсэх	v. grow
хоцрогдол	n. hangover
уярах	v. melt
сэргээх	v. animate, enliven
мөрөөдөх	v. dream, yearn
хоцорсон	adj. tardy
дотор	prep. among, inside
холих	v. blend, combine
доромжлогдсон	adj. abject
эрхэмлэгддэг	adj. preferential
эзэмших	v. engage, manage, occupy
зэлэгч	n. occupant
дэвших	v. progress, advance
хатирах	v. trot
дохиолох	v. motion
аймгийн	adj. tribal
хиа	n. page, aide-de-camp
гайхал	n. amazement
зүүд	n. dream
нагац	n. uncle
өлгий	n. cradle, diaper
голомт	n. fireplace
нөж	n. clot, gout
сайтар	adv. thoroughly
тогтмол	adj. constant
цохио	n. cliff, rock
сахиул	n. guardian, warden
дорой	adj. frail, low, poor
шийтгэх	v. blame, condemn
саад	n. barrier, delay
завсар	n. clearance, slit
баясах	v. enjoy, amuse
тайлагдах	v. uncoil, unwind
залуу	n. guy, lad
тэлээ	n. belt
мунгинах	v. flounder, linger
ойртох	v. approach
хоцрох	v. lag, backwards
дохих	v. beckon, gesticulate
уурга	n. lasso
мөшгөх	v. pursue
сураглах	v. ask
гавшгай	n. alert, brisk
налархай	adj. lithe, supple
оготор	n. bob, bun, dock
шингэсэн	adj. saturated
үдэш	n. evening
дээрэмдэх	v. holdup, flay, pillage
дээрэм	n. pillage, piracy
агт	n. steed
шивээлэх	v. pale
хур	n. grouse
эрмэг	adj. masculine, sterility
татлах	v. jot
амсар	n. lip, mouth
исэр	n. stool
нэгж	n. unit
унгас	n. fleece, hair, wool
баримтлах	v. exercise, observance, upheld
самар	n. nut
гинж	n. bond, chain
аврах	v. redeem
дөнгө	n. shackles, fetter
бэдрэх	v. pursue
саад	n. barrier
